חשבון קרן,קרן,שם קרן,מספר נייר,שם נייר/סוג חשבון,מטבע,ערך נקוב,שער נייר,שער מטבע,"סה""כ ש""ח"
,1142556,חשבון פיקטיבי טכ עילית,72592603,MONEYTIME,"דולרים של ארה""ב",52164,0,3.7286,0
,1142556,חשבון פיקטיבי טכ עילית,72592629,SCALEZ OS,"דולרים של ארה""ב",52164,0,3.7286,0
,1142556,חשבון פיקטיבי טכ עילית,72592702,SCALEZ,"דולרים של ארה""ב",320604,0,3.7286,0
,1142556,חשבון פיקטיבי טכ עילית,72592744,LIBERTY TE,"דולרים של ארה""ב",52164,0,3.7286,0
,1142556,חשבון פיקטיבי טכ עילית,72592769,SONGO,"דולרים של ארה""ב",2144,0,3.7286,0
,1142556,חשבון פיקטיבי טכ עילית,72592785,NOVELTY,"דולרים של ארה""ב",529600,0,3.7286,0
,1142556,חשבון פיקטיבי טכ עילית,72592801,RIGHTBOUND,"דולרים של ארה""ב",334564,8.1958,3.7286,10223894.4
,1142556,חשבון פיקטיבי טכ עילית,72654346,SOLIDUS,"דולרים של ארה""ב",42749,329.58,3.7286,52533048.62
,1142556,חשבון פיקטיבי טכ עילית,72654361,SHOPIC,"דולרים של ארה""ב",162773,143.34,3.7286,86995254.55
,1142556,חשבון פיקטיבי טכ עילית,72712821,WISE,"דולרים של ארה""ב",52164,0,3.7286,0
,1142556,חשבון פיקטיבי טכ עילית,72736515,LIGHT SOLV,"דולרים של ארה""ב",520297,6.3425,3.7286,12304319.31
,1142556,חשבון פיקטיבי טכ עילית,72775836,JUL SHOPPI,"דולרים של ארה""ב",226137,0,3.7286,0
,1142556,חשבון פיקטיבי טכ עילית,72775844,JUL SHOPP,"דולרים של ארה""ב",15186,0,3.7286,0
,1142556,חשבון פיקטיבי טכ עילית,73505562,RAPYDO,"דולרים של ארה""ב",24741,47.25,3.7286,4358779.08
,1142556,חשבון פיקטיבי טכ עילית,73522856,SOLIDUS LT,"דולרים של ארה""ב",3926,329.58,3.7286,4824551.42
,1142556,חשבון פיקטיבי טכ עילית,73537086,JULSHOPPIN,"דולרים של ארה""ב",4252,0,3.7286,0
